Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,days_count,Burn Rate
1,1,1,2,4.0,6.3,4795,0.41
0,0,0,5,9.0,9.6,5021,0.96
0,0,1,2,5.0,5.8,4845,0.54
0,1,0,2,4.0,2.4,5068,0.16
1,0,0,4,8.0,5.9,5034,0.68
1,1,1,3,5.0,4.9,4867,0.41
0,1,0,3,6.0,7.3,4785,0.67
0,1,0,3,5.0,7.4,4723,0.61
1,1,1,2,4.0,5.9,4978,0.42
1,0,0,3,5.0,5.9,4995,0.58
1,1,0,1,3.0,3.2,4986,0.13
0,0,0,3,7.0,6.0,4786,0.57
0,1,1,1,2.0,5.1,4913,0.31
0,0,0,1,3.0,5.8,4914,0.44
1,1,1,3,5.0,5.2,4750,0.45
1,0,0,4,8.0,8.5,5013,0.66
0,1,1,0,1.0,4.4,4727,0.27
0,1,0,4,7.0,7.0,4768,0.57
1,1,1,2,4.0,5.8,4904,0.36
1,0,0,2,4.0,5.6,4792,0.48
1,0,1,3,6.0,5.9,4815,0.45
1,0,0,2,3.0,5.2,4813,0.42
0,0,0,3,6.0,7.0,4716,0.64
1,1,0,2,5.0,7.7,4892,0.62
0,0,1,2,4.0,6.0,4860,0.43
1,1,1,2,3.0,5.3,4970,0.31
0,0,0,1,1.0,4.4,4736,0.27
1,1,1,3,7.0,5.9,4941,0.52
0,1,1,3,8.0,9.4,5013,0.84
1,0,1,3,7.0,5.9,4735,0.51
1,0,1,1,4.0,5.3,4776,0.36
1,1,1,2,3.0,5.9,5049,0.48
0,1,0,2,5.0,5.6,4914,0.34
0,0,0,3,7.0,9.8,4946,0.83
1,1,1,1,3.0,5.9,5008,0.36
0,1,1,1,4.0,5.5,4905,0.33
0,1,0,2,6.0,8.5,4827,0.71
1,0,1,2,4.0,6.0,5012,0.46
1,1,0,0,2.0,4.5,4911,0.3
0,1,1,2,5.0,6.5,5004,0.62
0,1,0,2,6.0,7.7,4857,0.66
0,1,0,3,6.0,7.4,4707,0.56
1,1,1,0,1.0,3.2,4875,0.23
0,1,1,4,4.0,5.9,4745,0.6
1,0,0,2,5.0,6.1,4866,0.48
1,1,0,2,4.0,5.3,4989,0.46
1,0,1,2,4.0,6.6,4707,0.61
0,1,0,1,3.0,5.2,4757,0.44
0,1,1,1,2.0,5.0,4842,0.3
0,1,0,2,4.0,7.2,4833,0.58
0,1,1,2,5.0,7.9,4871,0.65
0,1,0,2,5.0,5.8,5049,0.36
1,0,0,2,3.0,4.5,4733,0.25
0,0,1,3,6.0,8.4,4711,0.66
1,0,0,1,2.0,5.9,4921,0.17
0,1,0,4,8.0,8.8,4712,0.87
0,1,0,2,6.0,7.7,4741,0.57
1,1,1,2,4.0,5.4,5052,0.46
0,1,1,3,6.0,6.9,5065,0.66
1,1,1,1,1.0,5.9,4910,0.2
0,1,0,4,8.0,7.1,5007,0.57
0,1,1,1,4.0,5.1,4734,0.39
1,1,0,1,1.0,4.2,4909,0.26
1,1,0,2,5.0,5.1,5007,0.45
