Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,days_count,Burn Rate
1,1,0,2,3.0,3.8,4796,0.16
0,1,1,1,2.0,5.0,4735,0.36
1,0,1,2,4.0,5.8,4793,0.49
0,1,1,1,1.0,2.6,4999,0.2
1,1,0,3,7.0,6.9,4864,0.52
0,0,1,2,4.0,3.6,4739,0.29
1,1,0,3,6.0,7.9,5038,0.62
1,1,1,2,4.0,4.4,4765,0.33
1,1,0,3,6.0,5.9,4708,0.56
1,0,0,3,6.0,5.9,4823,0.67
0,0,1,2,3.0,5.3,4994,0.5
0,1,1,0,1.0,1.8,4730,0.12
0,1,1,2,5.0,5.9,5050,0.4
1,0,0,1,3.0,5.9,5016,0.33
0,0,1,1,3.0,5.8,4935,0.51
1,1,1,3,5.0,4.7,5008,0.32
0,1,1,1,2.0,5.9,4993,0.39
0,1,0,3,6.0,6.7,4982,0.59
1,0,1,2,4.0,4.0,4920,0.22
1,1,0,3,5.0,5.9,4891,0.68
0,0,0,2,4.0,7.6,4826,0.57
0,1,1,1,3.0,6.3,5055,0.47
0,1,1,1,3.0,6.7,4974,0.46
1,0,1,3,4.0,7.7,4748,0.61
1,1,0,3,8.0,5.9,4812,0.91
1,1,1,3,4.0,5.8,4816,0.4
0,1,0,2,4.0,6.6,4755,0.44
1,1,0,2,4.0,7.4,4808,0.6
1,1,0,2,5.0,6.7,4810,0.46
1,1,1,2,4.0,5.9,4739,0.45
1,0,1,1,2.0,3.6,4730,0.2
1,1,1,1,2.0,3.9,4719,0.2
1,1,0,0,1.0,3.0,4755,0.19
0,1,0,1,3.0,4.7,4793,0.31
0,0,0,4,8.0,8.7,5005,0.81
0,1,1,3,5.0,4.4,4971,0.39
1,1,1,3,6.0,5.8,4857,0.42
1,0,1,0,2.0,3.9,4901,0.19
1,1,1,3,7.0,6.6,4951,0.56
1,1,0,4,7.0,7.3,4766,0.53
1,1,1,3,5.0,5.9,5012,0.5
1,0,1,1,3.0,5.4,4896,0.33
0,1,0,2,5.0,5.0,5021,0.45
1,1,1,2,3.0,6.0,4894,0.36
1,1,1,3,6.0,7.5,4845,0.59
0,1,0,4,10.0,10.0,4761,0.94
1,0,0,3,4.0,7.7,4818,0.61
1,0,1,1,3.0,6.0,4829,0.37
0,1,0,2,6.0,7.4,4989,0.65
1,1,1,2,5.0,6.4,4866,0.49
0,1,1,1,3.0,5.6,5047,0.38
0,0,0,2,5.0,7.4,4816,0.62
1,0,1,3,5.0,6.1,4787,0.39
1,0,1,2,4.0,3.1,4923,0.15
0,1,0,2,5.0,8.0,4713,0.61
1,0,0,1,2.0,4.0,4853,0.26
1,1,0,2,2.0,3.6,4713,0.28
0,0,1,2,5.0,8.7,5014,0.71
0,0,0,3,4.0,8.0,4955,0.68
1,1,0,3,5.0,6.8,4856,0.57
1,1,1,2,3.0,4.9,4745,0.39
1,0,0,3,6.0,7.9,4756,0.61
0,0,0,3,6.0,7.6,4759,0.62
1,1,0,5,9.0,9.2,5011,0.8
0,1,1,4,6.0,6.5,5005,0.63
1,1,0,3,5.0,6.8,4837,0.6
1,0,0,4,8.0,8.7,4778,0.79
0,1,1,2,5.0,6.2,4843,0.39
1,1,0,3,5.0,5.8,4856,0.36
1,0,0,2,4.0,6.6,4871,0.5
0,0,0,4,7.0,8.2,4756,0.72
1,1,1,2,3.0,4.9,4942,0.34
1,1,0,1,2.0,4.1,4977,0.27
0,1,0,3,7.0,7.4,5062,0.66
1,0,1,0,1.0,5.9,5065,0.04
0,1,1,1,2.0,4.4,4928,0.27
1,1,0,2,6.0,6.9,4739,0.67
1,0,1,1,2.0,5.3,4775,0.38
1,1,1,2,2.0,4.3,4991,0.28
0,0,1,0,1.0,0.8,4799,0.05
1,1,1,2,4.0,2.9,4982,0.22
1,1,1,1,3.0,5.0,4732,0.39
0,1,1,1,4.0,6.9,4929,0.52
1,1,0,3,5.0,4.7,4809,0.39
1,1,0,1,3.0,2.0,5026,0.11
1,1,0,2,4.0,5.4,4807,0.44
0,0,0,2,5.0,6.1,5003,0.5
1,0,1,1,4.0,5.1,4769,0.41
0,0,0,4,9.0,5.9,5048,0.76
1,1,1,3,5.0,4.7,4964,0.43
0,1,1,3,5.0,5.4,4770,0.46
1,1,0,4,7.0,9.1,5039,0.85
0,1,1,1,3.0,5.0,5009,0.35
0,0,0,1,1.0,0.0,4997,0.0
0,0,1,2,4.0,4.3,4983,0.34
1,1,1,2,4.0,6.7,4837,0.44
1,0,0,2,5.0,5.7,4755,0.55
0,1,1,4,6.0,6.8,4750,0.62
0,1,0,3,6.0,7.6,4840,0.72
0,0,1,3,8.0,8.3,4735,0.71
1,0,0,1,3.0,5.5,4849,0.39
1,1,0,1,3.0,5.3,4890,0.48
1,1,0,3,7.0,8.0,4913,0.7
0,1,1,4,6.0,6.4,4718,0.56
1,1,1,1,3.0,3.6,4848,0.27
1,0,1,2,5.0,7.0,4972,0.66
1,0,0,3,7.0,7.6,4768,0.56
0,1,0,2,5.0,8.7,4913,0.79
1,0,1,0,1.0,2.6,5020,0.18
1,1,1,2,4.0,4.7,4853,0.33
0,1,1,2,4.0,6.4,4763,0.4
1,1,0,2,5.0,5.8,5036,0.39
1,1,0,1,1.0,3.3,4788,0.23
1,0,1,2,4.0,5.9,4978,0.45
1,0,0,2,4.0,7.8,4725,0.67
0,0,1,1,3.0,7.0,4751,0.52
1,1,0,4,7.0,7.2,5030,0.6
0,1,1,3,7.0,7.9,4969,0.59
1,1,1,1,3.0,5.9,4810,0.36
0,1,0,1,3.0,4.4,5007,0.29
0,1,1,2,5.0,5.2,5018,0.34
1,0,1,2,4.0,5.3,4984,0.34
1,1,0,4,6.0,5.9,4967,0.67
